"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Alcedo atthis","Alcedinidae","普通翠鸟","Common Kingfisher","Martín pescador común","Martin-pêcheur d’Europe","Eisvogel","Зимородок","Martin pescatore","guarda-rios-comum","カワセミ","24104","https://www.gbif.org/species/2475532","https://baike.baidu.com/item/普通翠鸟"
"Halcyon smyrnensis","Alcedinidae","白胸翡翠","White-throated Kingfisher","Alción de Esmirna","Martin-chasseur de Smyrne","Braunliest","Красноносый зимородок","Martin pescatore di Smirne","guarda-rios-de-peito-branco","アオショウビン","4405","https://www.gbif.org/species/5228328","https://baike.baidu.com/item/白胸翡翠"
"Ceryle rudis","Alcedinidae","斑鱼狗","Pied Kingfisher","Martín pescador pío","Martin-pêcheur pie","Graufischer","Малый пегий зимородок","Martin pescatore bianco e nero","guarda-rios-malhado","ヒメヤマセミ","3396","https://www.gbif.org/species/2475679","https://baike.baidu.com/item/斑鱼狗"
"Eurystomus orientalis","Coraciidae","三宝鸟","Oriental Dollarbird","Carraca oriental","Rolle oriental","Türkisracke","Восточный широкорот","Ghiandaia marina orientale","rolieiro-oriental","ブッポウソウ","2303","https://www.gbif.org/species/5228280","https://baike.baidu.com/item/三宝鸟"
"Megaceryle lugubris","Alcedinidae","冠鱼狗","Crested Kingfisher","Martín gigante asiático","Martin-pêcheur tacheté","Haubenfischer","Большой пегий зимородок","Martin pescatore crestato","guarda-rios-pedrês","ヤマセミ","2093","https://www.gbif.org/species/2475476","https://baike.baidu.com/item/冠鱼狗"
"Halcyon pileata","Alcedinidae","蓝翡翠","Black-capped Kingfisher","Alción capirotado","Martin-chasseur à coiffe noire","Kappenliest","Ошейниковый зимородок","Martin pescatore capinero","guarda-rios-de-touca-preta","ヤマショウビン","1347","https://www.gbif.org/species/5228310","https://baike.baidu.com/item/蓝翡翠"
"Nyctyornis athertoni","Meropidae","蓝须夜蜂虎","Blue-bearded Bee-eater","Abejaruco barbiazul","Guêpier à barbe bleue","Blaubartspint","Синебородая щурка","Gruccione barbazzurra","abelharuco-de-barba-azul","アオムネハチクイ","664","https://www.gbif.org/species/2475458","https://baike.baidu.com/item/蓝须夜蜂虎"
"Merops philippinus","Meropidae","栗喉蜂虎","Blue-tailed Bee-eater","Abejaruco coliazul","Guêpier à queue d’azur","Blauschwanzspint","Синехвостая щурка","Gruccione codazzurra","abelharuco-de-cauda-azul","ルリオハチクイ","468","https://www.gbif.org/species/2475452","https://baike.baidu.com/item/栗喉蜂虎"
"Merops viridis","Meropidae","蓝喉蜂虎","Blue-throated Bee-eater","Abejaruco gorjiazul","Guêpier à gorge bleue","Malaienspint","Малайская щурка","Gruccione golazzurra","abelharuco-de-garganta-azul","ルリノドハチクイ","449","https://www.gbif.org/species/2475449","https://baike.baidu.com/item/蓝喉蜂虎"
"Coracias garrulus","Coraciidae","蓝胸佛法僧","European Roller","Carraca europea","Rollier d’Europe","Blauracke","Сизоворонка","Ghiandaia marina","rolieiro-europeu","ニシブッポウソウ","421","https://www.gbif.org/species/2475365","https://baike.baidu.com/item/蓝胸佛法僧"
