"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Falco tinnunculus","Falconidae","红隼","Common Kestrel","Cernícalo vulgar","Faucon crécerelle","Turmfalke","Пустельга","Gheppio","peneireiro-de-dorso-malhado","チョウゲンボウ","17465","https://www.gbif.org/species/9616058","https://baike.baidu.com/item/红隼"
"Falco peregrinus","Falconidae","游隼","Peregrine Falcon","Halcón peregrino","Faucon pèlerin","Wanderfalke","Сапсан","Falco pellegrino","falcão-peregrino","ハヤブサ","5933","https://www.gbif.org/species/2481047","https://baike.baidu.com/item/游隼"
"Falco amurensis","Falconidae","红脚隼","Amur Falcon","Cernícalo del Amur","Faucon de l’Amour","Amurfalke","Амурский кобчик","Falco dell'Amur","falcão-do-amur","アカアシチョウゲンボウ","4915","https://www.gbif.org/species/2480998","https://baike.baidu.com/item/红脚隼"
"Falco subbuteo","Falconidae","燕隼","Eurasian Hobby","Alcotán europeo","Faucon hobereau","Baumfalke","Чеглок","Lodolaio","ógea-eurasiática","チゴハヤブサ","4793","https://www.gbif.org/species/2481035","https://baike.baidu.com/item/燕隼"
"Falco columbarius","Falconidae","灰背隼","Merlin","Esmerejón","Faucon émerillon","Merlin","Дербник","Smeriglio","esmerilhão","コチョウゲンボウ","751","https://www.gbif.org/species/9813242","https://baike.baidu.com/item/灰背隼"
"Microhierax melanoleucos","Falconidae","白腿小隼","Pied Falconet","Falconete pío","Fauconnet noir et blanc","Elsterfälkchen","Сорочий сокол-крошка","Falchetto bianconero","falconete-alvinegro","シロハラヒメハヤブサ","425","https://www.gbif.org/species/2481079","https://baike.baidu.com/item/白腿小隼"
"Falco naumanni","Falconidae","黄爪隼","Lesser Kestrel","Cernícalo primilla","Faucon crécerellette","Rötelfalke","Степная пустельга","Grillaio","peneireiro-das-torres","ヒメチョウゲンボウ","349","https://www.gbif.org/species/9584698","https://baike.baidu.com/item/黄爪隼"
"Microhierax caerulescens","Falconidae","红腿小隼","Collared Falconet","Falconete acollarado","Fauconnet à collier","Rotkehlfälkchen","Красноногий сокол-крошка","Falchetto dal collare","falconete-de-colar","モモアカヒメハヤブサ","287","https://www.gbif.org/species/2481075","https://baike.baidu.com/item/红腿小隼"
"Falco severus","Falconidae","猛隼","Oriental Hobby","Alcotán filipino","Faucon aldrovandin","Malaienbaumfalke","Восточный чеглок","Lodolaio orientale","ógea-oriental","ミナミチゴハヤブサ","174","https://www.gbif.org/species/2481060","https://baike.baidu.com/item/猛隼"
"Falco vespertinus","Falconidae","西红脚隼","Red-footed Falcon","Cernícalo patirrojo","Faucon kobez","Rotfußfalke","Кобчик","Falco cuculo","falcão-de-pés-vermelhos","ニシアカアシチョウゲンボウ","87","https://www.gbif.org/species/2481062","https://baike.baidu.com/item/西红脚隼"
"Falco cherrug","Falconidae","猎隼","Saker Falcon","Halcón sacre","Faucon sacre","Würgfalke","Балобан","Sacro","falcão-sacre","ワキスジハヤブサ","78","https://www.gbif.org/species/2481034","https://baike.baidu.com/item/猎隼"
"Falco rusticolus","Falconidae","矛隼","Gyrfalcon","Halcón gerifalte","Faucon gerfaut","Gerfalke","Кречет","Girfalco","falcão-gerifalte","シロハヤブサ","4","https://www.gbif.org/species/8069880","https://baike.baidu.com/item/矛隼"
NULL,"Falconidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL
