"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Anas platyrhynchos","Anatidae","绿头鸭","Mallard","Ánade azulón","Canard colvert","Stockente","Кряква","Germano reale","pato-real","マガモ","30335","https://www.gbif.org/species/9761484","https://baike.baidu.com/item/绿头鸭"
"Anas zonorhyncha","Anatidae","斑嘴鸭","Eastern Spot-billed Duck","Ánade picopinto chino","Canard de Chine","China-Fleckschnabelente","Чёрная кряква","Germano beccomacchiato orientale","pato-de-bico-pintado-chinês","カルガモ","22117","https://www.gbif.org/species/2498061","https://baike.baidu.com/item/斑嘴鸭"
"Anas crecca","Anatidae","绿翅鸭","Eurasian Teal","Cerceta común","Sarcelle d’hiver","Krickente","Чирок-свистунок","Alzavola","marrequinha-eurasiática","コガモ","11729","https://www.gbif.org/species/8214667","https://baike.baidu.com/item/绿翅鸭"
"Tadorna ferruginea","Anatidae","赤麻鸭","Ruddy Shelduck","Tarro canelo","Tadorne casarca","Rostgans","Огарь","Casarca","tadorna-ferrugínea","アカツクシガモ","10611","https://www.gbif.org/species/2498015","https://baike.baidu.com/item/赤麻鸭"
"Mareca strepera","Anatidae","赤膀鸭","Gadwall","Ánade friso","Canard chipeau","Schnatterente","Серая утка","Canapiglia","frisada","オカヨシガモ","7260","https://www.gbif.org/species/9362027","https://baike.baidu.com/item/赤膀鸭"
"Aix galericulata","Anatidae","鸳鸯","Mandarin Duck","Pato mandarín","Canard mandarin","Mandarinente","Мандаринка","Anatra mandarina","pato-mandarim","オシドリ","7005","https://www.gbif.org/species/2498388","https://baike.baidu.com/item/鸳鸯"
"Mergus merganser","Anatidae","普通秋沙鸭","Common Merganser","Serreta grande","Grand Harle","Gänsesäger","Большой крохаль","Smergo maggiore","merganso-grande","カワアイサ","6613","https://www.gbif.org/species/9537647","https://baike.baidu.com/item/普通秋沙鸭"
"Mareca falcata","Anatidae","罗纹鸭","Falcated Duck","Cerceta de Alfanjes","Canard à faucilles","Sichelente","Касатка","Anatra falcata","pato-falcado","ヨシガモ","6146","https://www.gbif.org/species/9480191","https://baike.baidu.com/item/罗纹鸭"
"Mareca penelope","Anatidae","赤颈鸭","Eurasian Wigeon","Silbón europeo","Canard siffleur","Pfeifente","Свиязь","Fischione","piadeira-europeia","ヒドリガモ","5673","https://www.gbif.org/species/8000602","https://baike.baidu.com/item/赤颈鸭"
"Spatula clypeata","Anatidae","琵嘴鸭","Northern Shoveler","Cuchara común","Canard souchet","Löffelente","Широконоска","Mestolone","pato-trombeteiro-comum","ハシビロガモ","5627","https://www.gbif.org/species/8332393","https://baike.baidu.com/item/琵嘴鸭"
