"学名","中文名","英文名","西班牙文名","保护状况","出现次数"
"Mareca falcata","罗纹鸭","Falcated Duck","Cerceta de Alfanjes","NT","6146"
"Aythya ferina","红头潜鸭","Common Pochard","Porrón europeo","VU","5315"
"Aythya nyroca","白眼潜鸭","Ferruginous Duck","Porrón pardo","NT","3727"
"Anser cygnoides","鸿雁","Swan Goose","Ánsar cisnal","VU","3583"
"Anser serrirostris","短嘴豆雁","Tundra Bean Goose","Ánsar campestre de la tundra","NE","2107"
"Aythya baeri","青头潜鸭","Baer's Pochard","Porrón de Baer","CR","1168"
"Mergus squamatus","中华秋沙鸭","Scaly-sided Merganser","Serreta china","EN","802"
"Anser erythropus","小白额雁","Lesser White-fronted Goose","Ánsar chico","VU","390"
"Clangula hyemalis","长尾鸭","Long-tailed Duck","Pato havelda","VU","285"
"Oxyura leucocephala","白头硬尾鸭","White-headed Duck","Malvasía cabeciblanca","EN","139"
NULL,NULL,NULL,NULL,"NE","79"
"Melanitta americana","黑海番鸭","Black Scoter","Negrón americano","NT","76"
"Branta ruficollis","红胸黑雁","Red-breasted Goose","Barnacla cuelliroja","VU","68"
"Melanitta fusca","丝绒海番鸭","Velvet Scoter","Negrón especulado","VU","56"
"Mergellus albellus","斑头秋沙鸭","Smew","Serreta chica","NE","12"
"Cygnus columbianus","小天鹅","Tundra Swan","Cisne chico","NE","5"
"Anas luzonica","棕颈鸭","Philippine Duck","Ánade filipino","VU","2"
"Anser canagicus","帝雁","Emperor Goose","Ánsar emperador","NT","1"
