"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Apus apus","Apodidae","普通雨燕","Common Swift","Vencejo común","Martinet noir","Mauersegler","Чёрный стриж","Rondone comune","andorinhão-preto","ヨーロッパアマツバメ","5883","https://www.gbif.org/species/5228676","https://baike.baidu.com/item/普通雨燕"
"Apus nipalensis","Apodidae","小白腰雨燕","House Swift","Vencejo oriental","Martinet malais","Malaiensegler","Домовый стриж","Rondone delle case","andorinhão-doméstico","ヒメアマツバメ","5847","https://www.gbif.org/species/5228679","https://baike.baidu.com/item/小白腰雨燕"
"Apus pacificus","Apodidae","白腰雨燕","Pacific Swift","Vencejo del Pacífico","Martinet de Sibérie","Pazifiksegler","Белопоясный стриж","Rondone codaforcuta","andorinhão-asiático","アマツバメ","2805","https://www.gbif.org/species/5228670","https://baike.baidu.com/item/白腰雨燕"
"Cypsiurus balasiensis","Apodidae","棕雨燕","Asian Palm Swift","Vencejo palmero asiático","Martinet batassia","Bengalensegler","Азиатский пальмовый стриж","Rondone delle palme asiatico","andorinhão-das-palmeiras-asiático","アジアヤシアマツバメ","1483","https://www.gbif.org/species/2477102","https://baike.baidu.com/item/棕雨燕"
"Aerodramus brevirostris","Apodidae","短嘴金丝燕","Himalayan Swiftlet","Salangana del Himalaya","Salangane de l’Himalaya","Himalajasalangane","Гималайская салангана","Salangana dell'Himalaya","andorinhão-dos-himalaias","ヒマラヤアナツバメ","1375","https://www.gbif.org/species/2477231","https://baike.baidu.com/item/短嘴金丝燕"
"Hirundapus caudacutus","Apodidae","白喉针尾雨燕","White-throated Needletail","Vencejo mongol","Martinet épineux","Stachelschwanzsegler","Колючехвост, колючехвостый стриж","Rondone codacuta","andorinhão-mongol","ハリオアマツバメ","1219","https://www.gbif.org/species/2477130","https://baike.baidu.com/item/白喉针尾雨燕"
"Apus salimalii","Apodidae","华西白腰雨燕","Salim Ali's Swift","Vencejo del Tibet","Martinet de Salim Ali","Hochlandsegler","Тибетский стриж",NULL,"andorinhão-de-salim-ali","サリムアリアマツバメ","1073","https://www.gbif.org/species/6101168","https://baike.baidu.com/item/华西白腰雨燕"
"Hemiprocne coronata","Hemiprocnidae","凤头雨燕","Crested Treeswift","Vencejo arborícola coronado","Hémiprocné couronné","Kronenbaumsegler","Хохлатый клехо","Rondone arboricolo crestato","andorinhão-arborícola-coroado","インドカンムリアマツバメ","208","https://www.gbif.org/species/2477443","https://baike.baidu.com/item/凤头雨燕"
"Apus cooki","Apodidae","印支白腰雨燕","Cook's Swift","Vencejo de Tailandia","Martinet de Cook","Indochinasegler","Индокитайский стриж",NULL,"andorinhão-de-cook","クックアマツバメ","88","https://www.gbif.org/species/6095443","https://baike.baidu.com/item/印支白腰雨燕"
"Aerodramus germani","Apodidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"73","https://www.gbif.org/species/7342328",NULL
"Hirundapus cochinchinensis","Apodidae","灰喉针尾雨燕","Silver-backed Needletail","Vencejo de la Cochinchina","Martinet de Cochinchine","Graukehlsegler","Серебристый колючехвост","Rondone codaspinosa dorsoargento","andorinhão-de-dorso-prateado","クロビタイハリオアマツバメ","58","https://www.gbif.org/species/2477133","https://baike.baidu.com/item/灰喉针尾雨燕"
"Hirundapus giganteus","Apodidae","褐背针尾雨燕","Brown-backed Needletail","Vencejo gigante","Martinet géant","Eilsegler","Большой колючехвост","Rondone codaspinosa dorsobruno","andorinhão-de-dorso-castanho","オオハリオアマツバメ","31","https://www.gbif.org/species/2477127","https://baike.baidu.com/item/褐背针尾雨燕"
NULL,"Apodidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"16",NULL,NULL
"Apus affinis","Apodidae","小雨燕","Little Swift","Vencejo moro","Martinet des maisons","Haussegler","Малый стриж","Rondone indiano","andorinhão-pequeno","ニシヒメアマツバメ","12","https://www.gbif.org/species/5228662","https://baike.baidu.com/item/小雨燕"
"Aerodramus fuciphagus","Apodidae","爪哇金丝燕","Edible-nest Swiftlet","Salangana nidoblanco","Salangane à nid blanc","Weißnestsalangane","Салангана-водорослеед","Salangana nidoedule","andorinhão-de-ninho-branco",NULL,"4","https://www.gbif.org/species/2477269","https://baike.baidu.com/item/爪哇金丝燕"
"Tachymarptis melba","Apodidae","高山雨燕","Alpine Swift","Vencejo real","Martinet à ventre blanc","Alpensegler","Белобрюхий стриж","Rondone maggiore","andorinhão-real","シロハラアマツバメ","2","https://www.gbif.org/species/2477411","https://baike.baidu.com/item/高山雨燕"
