"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Chroicocephalus ridibundus","Laridae","红嘴鸥","Black-headed Gull","Gaviota reidora","Mouette rieuse","Lachmöwe","Озёрная чайка","Gabbiano comune","guincho-comum","ユリカモメ","12912","https://www.gbif.org/species/6065824","https://baike.baidu.com/item/红嘴鸥"
"Tringa nebularia","Scolopacidae","青脚鹬","Common Greenshank","Archibebe claro","Chevalier aboyeur","Grünschenkel","Большой улит","Pantana","perna-verde-comum","アオアシシギ","12079","https://www.gbif.org/species/2481726","https://baike.baidu.com/item/青脚鹬"
"Actitis hypoleucos","Scolopacidae","矶鹬","Common Sandpiper","Andarríos chico","Chevalier guignette","Flussuferläufer","Перевозчик","Piro piro piccolo","maçarico-das-rochas","イソシギ","11535","https://www.gbif.org/species/2481800","https://baike.baidu.com/item/矶鹬"
"Himantopus himantopus","Recurvirostridae","黑翅长脚鹬","Black-winged Stilt","Cigüeñuela común","Échasse blanche","Stelzenläufer","Ходулочник","Cavaliere d'Italia","pernilongo-comum","セイタカシギ","11131","https://www.gbif.org/species/5229126","https://baike.baidu.com/item/黑翅长脚鹬"
"Charadrius alexandrinus","Charadriidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"9800","https://www.gbif.org/species/2480311",NULL
"Charadrius dubius","Charadriidae","金眶鸻","Little Ringed Plover","Chorlitejo chico","Pluvier petit-gravelot","Flussregenpfeifer","Малый зуёк","Corriere piccolo","borrelho-pequeno-de-coleira","コチドリ","8222","https://www.gbif.org/species/7937336","https://baike.baidu.com/item/金眶鸻"
"Tringa ochropus","Scolopacidae","白腰草鹬","Green Sandpiper","Andarríos grande","Chevalier cul-blanc","Waldwasserläufer","Черныш","Piro piro culbianco","maçarico-bique-bique","クサシギ","8212","https://www.gbif.org/species/2481728","https://baike.baidu.com/item/白腰草鹬"
"Larus argentatus","Laridae","银鸥","European Herring Gull","Gaviota argéntea europea","Goéland argenté","Silbermöwe","Серебристая чайка","Gabbiano reale nordico","gaivota-prateada-europeia","セグロカモメ","7980","https://www.gbif.org/species/2481139","https://baike.baidu.com/item/银鸥"
"Sterna hirundo","Laridae","普通燕鸥","Common Tern","Charrán común","Sterne pierregarin","Flussseeschwalbe","Речная крачка","Sterna comune","andorinha-do-mar-comum","アジサシ","7706","https://www.gbif.org/species/9367409","https://baike.baidu.com/item/普通燕鸥"
"Recurvirostra avosetta","Recurvirostridae","反嘴鹬","Pied Avocet","Avoceta común","Avocette élégante","Säbelschnäbler","Шилоклювка","Avocetta","alfaiate-comum","ソリハシセイタカシギ","7300","https://www.gbif.org/species/2480259","https://baike.baidu.com/item/反嘴鹬"
"Calidris alpina","Scolopacidae","黑腹滨鹬","Dunlin","Correlimos común","Bécasseau variable","Alpenstrandläufer","Чернозобик","Piovanello pancianera","pilrito-comum","ハマシギ","6831","https://www.gbif.org/species/2481759","https://baike.baidu.com/item/黑腹滨鹬"
"Gallinago gallinago","Scolopacidae","扇尾沙锥","Common Snipe","Agachadiza común","Bécassine des marais","Bekassine","Бекас","Beccaccino","narceja-comum","タシギ","6693","https://www.gbif.org/species/2481819","https://baike.baidu.com/item/扇尾沙锥"
"Tringa glareola","Scolopacidae","林鹬","Wood Sandpiper","Andarríos bastardo","Chevalier sylvain","Bruchwasserläufer","Фифи","Piro piro boschereccio","maçarico-de-dorso-malhado","タカブシギ","6405","https://www.gbif.org/species/2481713","https://baike.baidu.com/item/林鹬"
"Tringa totanus","Scolopacidae","红脚鹬","Common Redshank","Archibebe común","Chevalier gambette","Rotschenkel","Травник","Pettegola","perna-vermelha-comum","アカアシシギ","6338","https://www.gbif.org/species/2481714","https://baike.baidu.com/item/红脚鹬"
"Calidris ruficollis","Scolopacidae","红颈滨鹬","Red-necked Stint","Correlimos cuellirrojo","Bécasseau à col roux","Rotkehl-Strandläufer","Песочник-красношейка","Gambecchio collorosso","pilrito-de-pescoço-ruivo","トウネン","6326","https://www.gbif.org/species/2481746","https://baike.baidu.com/item/红颈滨鹬"
"Tringa erythropus","Scolopacidae","鹤鹬","Spotted Redshank","Archibebe oscuro","Chevalier arlequin","Dunkelwasserläufer","Щёголь","Totano moro","perna-vermelha-escuro","ツルシギ","6149","https://www.gbif.org/species/2481725","https://baike.baidu.com/item/鹤鹬"
"Larus crassirostris","Laridae","黑尾鸥","Black-tailed Gull","Gaviota japonesa","Goéland à queue noire","Japanmöwe","Чернохвостая чайка","Gabbiano codanera","gaivota-japonesa","ウミネコ","5502","https://www.gbif.org/species/2481197","https://baike.baidu.com/item/黑尾鸥"
"Tringa stagnatilis","Scolopacidae","泽鹬","Marsh Sandpiper","Archibebe fino","Chevalier stagnatile","Teichwasserläufer","Поручейник","Albastrello","perna-verde-fino","コアオアシシギ","5490","https://www.gbif.org/species/2481719","https://baike.baidu.com/item/泽鹬"
"Pluvialis squatarola","Charadriidae","灰斑鸻","Grey Plover","Chorlito gris","Pluvier argenté","Kiebitzregenpfeifer","Тулес","Pivieressa","tarambola-cinzenta","ダイゼン","5179","https://www.gbif.org/species/2480327","https://baike.baidu.com/item/灰斑鸻"
"Numenius arquata","Scolopacidae","白腰杓鹬","Eurasian Curlew","Zarapito real","Courlis cendré","Brachvogel","Большой кроншнеп","Chiurlo maggiore","maçarico-real","ダイシャクシギ","5115","https://www.gbif.org/species/2481792","https://baike.baidu.com/item/白腰杓鹬"
"Vanellus cinereus","Charadriidae","灰头麦鸡","Grey-headed Lapwing","Avefría ceniza","Vanneau à tête grise","Graukopfkiebitz","Серый чибис","Pavoncella testagrigia","abibe-de-cabeça-cinzenta","ケリ","5061","https://www.gbif.org/species/5229145","https://baike.baidu.com/item/灰头麦鸡"
"Limosa limosa","Scolopacidae","黑尾塍鹬","Black-tailed Godwit","Aguja colinegra","Barge à queue noire","Uferschnepfe","Большой веретенник","Pittima reale","maçarico-de-bico-direito","オグロシギ","4920","https://www.gbif.org/species/2481685","https://baike.baidu.com/item/黑尾塍鹬"
"Vanellus vanellus","Charadriidae","凤头麦鸡","Northern Lapwing","Avefría europea","Vanneau huppé","Kiebitz","Чибис","Pavoncella","abibe-eurasiático","タゲリ","4760","https://www.gbif.org/species/2480242","https://baike.baidu.com/item/凤头麦鸡"
"Chlidonias hybrida","Laridae","须浮鸥","Whiskered Tern","Fumarel cariblanco","Guifette moustac","Weißbart-Seeschwalbe","Белощёкая крачка","Mignattino piombato","gaivina-dos-pauis","クロハラアジサシ","4733","https://www.gbif.org/species/2481121","https://baike.baidu.com/item/须浮鸥"
"Numenius phaeopus","Scolopacidae","中杓鹬","Eurasian Whimbrel","Zarapito trinador","Courlis corlieu","Regenbrachvogel","Средний кроншнеп","Chiurlo piccolo","maçarico-galego-eurasiático","チュウシャクシギ","4558","https://www.gbif.org/species/2481784","https://baike.baidu.com/item/中杓鹬"
NULL,"Charadriidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4409",NULL,NULL
"Gelochelidon nilotica","Laridae","鸥嘴噪鸥","Gull-billed Tern","Pagaza piconegra","Sterne hansel","Lachseeschwalbe","Чайконосая крачка","Sterna zampenere","tagaz-comum","ハシブトアジサシ","4342","https://www.gbif.org/species/2481263","https://baike.baidu.com/item/鸥嘴噪鸥"
"Sternula albifrons","Laridae","白额燕鸥","Little Tern","Charrancito común","Sterne naine","Zwergseeschwalbe","Малая крачка","Fraticello","chilreta-comum","コアジサシ","4146","https://www.gbif.org/species/5789279","https://baike.baidu.com/item/白额燕鸥"
"Xenus cinereus","Scolopacidae","翘嘴鹬","Terek Sandpiper","Andarríos del Terek","Chevalier bargette","Terekwasserläufer","Мородунка","Piro piro del Terek","maçarico-sovela","ソリハシシギ","3940","https://www.gbif.org/species/2481703","https://baike.baidu.com/item/翘嘴鹬"
"Limosa lapponica","Scolopacidae","斑尾塍鹬","Bar-tailed Godwit","Aguja colipinta","Barge rousse","Pfuhlschnepfe","Малый веретенник","Pittima minore","fuselo","オオソリハシシギ","3667","https://www.gbif.org/species/2481681","https://baike.baidu.com/item/斑尾塍鹬"
"Chroicocephalus saundersi","Laridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3643","https://www.gbif.org/species/6065815",NULL
"Calidris acuminata","Scolopacidae","尖尾滨鹬","Sharp-tailed Sandpiper","Correlimos acuminado","Bécasseau à queue pointue","Spitzschwanz-Strandläufer","Острохвостый песочник","Piovanello siberiano","pilrito-acuminado","ウズラシギ","3557","https://www.gbif.org/species/2481769","https://baike.baidu.com/item/尖尾滨鹬"
"Calidris ferruginea","Scolopacidae","弯嘴滨鹬","Curlew Sandpiper","Correlimos zarapitín","Bécasseau cocorli","Sichelstrandläufer","Краснозобик","Piovanello comune","pilrito-de-bico-comprido","サルハマシギ","3513","https://www.gbif.org/species/2481741","https://baike.baidu.com/item/弯嘴滨鹬"
"Numenius madagascariensis","Scolopacidae","大杓鹬","Far Eastern Curlew","Zarapito siberiano","Courlis de Sibérie","Isabellbrachvogel","Дальневосточный кроншнеп","Chiurlo orientale","maçarico-siberiano","ホウロクシギ","3417","https://www.gbif.org/species/2481791","https://baike.baidu.com/item/大杓鹬"
"Chlidonias leucopterus","Laridae","白翅浮鸥","White-winged Tern","Fumarel aliblanco","Guifette leucoptère","Weißflügel-Seeschwalbe","Белокрылая крачка","Mignattino alibianche","gaivina-d'asa-branca","ハジロクロハラアジサシ","3327","https://www.gbif.org/species/2481120","https://baike.baidu.com/item/白翅浮鸥"
"Calidris tenuirostris","Scolopacidae","大滨鹬","Great Knot","Correlimos grande","Bécasseau de l’Anadyr","Anadyrknutt","Большой песочник","Piovanello gigante","seixoeira-grande","オバシギ","3214","https://www.gbif.org/species/2481768","https://baike.baidu.com/item/大滨鹬"
"Charadrius leschenaultii","Charadriidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3168","https://www.gbif.org/species/2480297",NULL
"Pluvialis fulva","Charadriidae","金斑鸻","Pacific Golden Plover","Chorlito dorado siberiano","Pluvier fauve","Tundra-Goldregenpfeifer","Бурокрылая ржанка","Piviere orientale","tarambola-siberiana","ムナグロ","3112","https://www.gbif.org/species/2480331","https://baike.baidu.com/item/金斑鸻"
"Arenaria interpres","Scolopacidae","翻石鹬","Ruddy Turnstone","Vuelvepiedras común","Tournepierre à collier","Steinwälzer","Камнешарка","Voltapietre","rola-do-mar-comum","キョウジョシギ","2997","https://www.gbif.org/species/2481776","https://baike.baidu.com/item/翻石鹬"
"Calidris alba","Scolopacidae","三趾滨鹬","Sanderling","Correlimos tridáctilo","Bécasseau sanderling","Sanderling","Песчанка","Piovanello tridattilo","pilrito-das-praias","ミユビシギ","2949","https://www.gbif.org/species/2481748","https://baike.baidu.com/item/三趾滨鹬"
"Calidris falcinellus","Scolopacidae","阔嘴鹬","Broad-billed Sandpiper","Correlimos falcinelo","Bécasseau falcinelle","Sumpfläufer","Грязовик","Gambecchio frullino","pilrito-de-bico-grosso","キリアイ","2800","https://www.gbif.org/species/7537888","https://baike.baidu.com/item/阔嘴鹬"
"Calidris canutus","Scolopacidae","红腹滨鹬","Red Knot","Correlimos gordo","Bécasseau maubèche","Knutt","Исландский песочник","Piovanello maggiore","seixoeira-comum","コオバシギ","2665","https://www.gbif.org/species/2481765","https://baike.baidu.com/item/红腹滨鹬"
"Hydroprogne caspia","Laridae","红嘴巨燕鸥","Caspian Tern","Pagaza piquirroja","Sterne caspienne","Raubseeschwalbe","Чеграва","Sterna maggiore","garajau-grande","オニアジサシ","2417","https://www.gbif.org/species/2481236","https://baike.baidu.com/item/红嘴巨燕鸥"
"Calidris temminckii","Scolopacidae","青脚滨鹬","Temminck's Stint","Correlimos de Temminck","Bécasseau de Temminck","Temminckstrandläufer","Белохвостый песочник","Gambecchio nano","pilrito-de-temminck","オジロトウネン","2215","https://www.gbif.org/species/2481740","https://baike.baidu.com/item/青脚滨鹬"
"Glareola maldivarum","Glareolidae","普通燕鸻","Oriental Pratincole","Canastera oriental","Glaréole orientale","Orientbrachschwalbe","Восточная тиркушка","Pernice di mare dal collare","perdiz-do-mar-oriental","ツバメチドリ","2151","https://www.gbif.org/species/2480759","https://baike.baidu.com/item/普通燕鸻"
"Ichthyaetus relictus","Laridae","遗鸥","Relict Gull","Gaviota relicta","Mouette relique","Reliktmöwe","Реликтовая чайка","Gabbiano relitto","gaivota-relíquia","ゴビズキンカモメ","1989","https://www.gbif.org/species/8179135","https://baike.baidu.com/item/遗鸥"
"Haematopus ostralegus","Haematopodidae","蛎鹬","Eurasian Oystercatcher","Ostrero euroasiático","Huîtrier pie","Austernfischer","Кулик-сорока","Beccaccia di mare","ostraceiro-eurasiático","ミヤコドリ","1908","https://www.gbif.org/species/7788295","https://baike.baidu.com/item/蛎鹬"
"Calidris subminuta","Scolopacidae","长趾滨鹬","Long-toed Stint","Correlimos dedilargo","Bécasseau à longs doigts","Langzehen-Strandläufer","Длиннопалый песочник","Gambecchio minore","pilrito-de-dedos-compridos","ヒバリシギ","1876","https://www.gbif.org/species/2481750","https://baike.baidu.com/item/长趾滨鹬"
"Chroicocephalus brunnicephalus","Laridae","棕头鸥","Brown-headed Gull","Gaviota centroasiática","Mouette du Tibet","Braunkopfmöwe","Буроголовая чайка","Gabbiano testabruna","guincho-do-tibete","チャガシラカモメ","1769","https://www.gbif.org/species/6065809","https://baike.baidu.com/item/棕头鸥"
"Charadrius placidus","Charadriidae","长嘴剑鸻","Long-billed Plover","Chorlitejo piquilargo","Pluvier à long bec","Ussuriregenpfeifer","Уссурийский зуёк","Corriere beccolungo","borrelho-de-bico-comprido","イカルチドリ","1710","https://www.gbif.org/species/2480322","https://baike.baidu.com/item/长嘴剑鸻"
"Ichthyaetus ichthyaetus","Laridae","渔鸥","Pallas's Gull","Gavión cabecinegro","Goéland ichthyaète","Fischmöwe","Черноголовый хохотун","Gabbiano di Pallas","gaivotão-de-cabeça-preta","オオズグロカモメ","1696","https://www.gbif.org/species/8028588","https://baike.baidu.com/item/渔鸥"
"Tringa brevipes","Scolopacidae","灰尾漂鹬","Grey-tailed Tattler","Playero siberiano","Chevalier de Sibérie","Grauschwanz-Wasserläufer","Сибирский пепельный улит","Piro piro siberiano","maçarico-de-cauda-cinzenta","キアシシギ","1557","https://www.gbif.org/species/2481722","https://baike.baidu.com/item/灰尾漂鹬"
