"学名","中文名","英文名","西班牙文名","保护状况","出现次数"
"Chroicocephalus ridibundus","红嘴鸥","Black-headed Gull","Gaviota reidora","NE","12787"
"Charadrius alexandrinus",NULL,NULL,NULL,"NE","9637"
"Calidris ruficollis","红颈滨鹬","Red-necked Stint","Correlimos cuellirrojo","NT","6303"
"Numenius arquata","白腰杓鹬","Eurasian Curlew","Zarapito real","NT","5094"
"Limosa limosa","黑尾塍鹬","Black-tailed Godwit","Aguja colinegra","NT","4860"
"Vanellus vanellus","凤头麦鸡","Northern Lapwing","Avefría europea","NT","4758"
NULL,NULL,NULL,NULL,"NE","4477"
"Limosa lapponica","斑尾塍鹬","Bar-tailed Godwit","Aguja colipinta","NT","3653"
"Chroicocephalus saundersi",NULL,NULL,NULL,"VU","3623"
"Calidris acuminata","尖尾滨鹬","Sharp-tailed Sandpiper","Correlimos acuminado","VU","3544"
"Calidris ferruginea","弯嘴滨鹬","Curlew Sandpiper","Correlimos zarapitín","NT","3513"
"Numenius madagascariensis","大杓鹬","Far Eastern Curlew","Zarapito siberiano","EN","3417"
"Calidris tenuirostris","大滨鹬","Great Knot","Correlimos grande","EN","3214"
"Charadrius leschenaultii",NULL,NULL,NULL,"NE","3100"
"Calidris canutus","红腹滨鹬","Red Knot","Correlimos gordo","NT","2649"
"Ichthyaetus relictus","遗鸥","Relict Gull","Gaviota relicta","NE","1988"
"Haematopus ostralegus","蛎鹬","Eurasian Oystercatcher","Ostrero euroasiático","NT","1885"
"Chroicocephalus brunnicephalus","棕头鸥","Brown-headed Gull","Gaviota centroasiática","NE","1755"
"Ichthyaetus ichthyaetus","渔鸥","Pallas's Gull","Gavión cabecinegro","NE","1691"
"Tringa brevipes","灰尾漂鹬","Grey-tailed Tattler","Playero siberiano","NT","1557"
"Limnodromus semipalmatus","半蹼鹬","Asian Dowitcher","Agujeta asiática","NT","1532"
"Tringa guttifer","小青脚鹬","Nordmann's Greenshank","Archibebe moteado","EN","1191"
"Calidris pygmaea","勺嘴鹬","Spoon-billed Sandpiper","Correlimos cuchareta","CR","953"
"Thalasseus bernsteini","中华凤头燕鸥","Chinese Crested Tern","Charrán chino","CR","553"
"Charadrius veredus",NULL,NULL,NULL,"NE","450"
"Vanellus duvaucelii","距翅麦鸡","River Lapwing","Avefría fluvial","NT","334"
"Sterna aurantia","黄嘴河燕鸥","River Tern","Charrán indio","VU","183"
"Rissa tridactyla","三趾鸥","Black-legged Kittiwake","Gaviota tridáctila","VU","121"
"Gallinago nemoricola","林沙锥","Wood Snipe","Agachadiza del Himalaya","VU","101"
"Chroicocephalus genei","细嘴鸥","Slender-billed Gull","Gaviota picofina","NE","79"
"Onychoprion aleuticus","白腰燕鸥","Aleutian Tern","Charrán aleutiano","VU","78"
"Larus vegae","西伯利亚银鸥","Vega Gull","Gaviota del este de Siberia","NE","77"
"Tringa ocrophus",NULL,NULL,NULL,"NE","36"
"Gallinago stenura","针尾沙锥","Pin-tailed Snipe","Agachadiza colirrara","NE","33"
"Vanellus cinereus","灰头麦鸡","Grey-headed Lapwing","Avefría ceniza","NE","23"
"Calidris ruficollis","红颈滨鹬","Red-necked Stint","Correlimos cuellirrojo","NE","23"
"Calidris alpina","黑腹滨鹬","Dunlin","Correlimos común","NE","22"
"Chroicocephalus saundersi",NULL,NULL,NULL,"NE","20"
"Calidris alba","三趾滨鹬","Sanderling","Correlimos tridáctilo","NE","15"
"Gallinago solitaria","孤沙锥","Solitary Snipe","Agachadiza solitaria","NE","14"
"Calidris acuminata","尖尾滨鹬","Sharp-tailed Sandpiper","Correlimos acuminado","NE","13"
"Calidris temminckii","青脚滨鹬","Temminck's Stint","Correlimos de Temminck","NE","11"
"Phalaropus lobatus","红颈瓣蹼鹬","Red-necked Phalarope","Falaropo picofino","NE","8"
"Brachyramphus perdix","长嘴斑海雀","Long-billed Murrelet","Mérgulo jaspeado asiático","NT","6"
"Pluvialis squatarola","灰斑鸻","Grey Plover","Chorlito gris","NE","5"
"Leucophaeus pipixcan","弗氏鸥","Franklin's Gull","Gaviota pipizcan","NE","4"
"Chroicocephalus novaehollandiae","澳洲红嘴鸥","Silver Gull","Gaviota plateada australiana","NE","4"
"Aethia rectangula",NULL,NULL,NULL,"NE","2"
"Gallinago hardwickii","拉氏沙锥","Latham's Snipe","Agachadiza japonesa","NT","2"
"Calidris pygmaea","勺嘴鹬","Spoon-billed Sandpiper","Correlimos cuchareta","NE","2"
"Charadrius dealbatus",NULL,NULL,NULL,"DD","1"
"Leucophaeus atricilla","笑鸥","Laughing Gull","Gaviota guanaguanare","NE","1"
"Gallinago gallinago","扇尾沙锥","Common Snipe","Agachadiza común","NE","1"
"Larus kamtschatschensis",NULL,NULL,NULL,"NE","1"
"Jiliniornis huadianensis",NULL,NULL,NULL,"NE","1"
"Esacus recurvirostris","大石鸻","Great Stone-curlew","Alcaraván piquigrueso indio","NT","1"
"Sterna acuticauda","黑腹燕鸥","Black-bellied Tern","Charrán ventrinegro","EN","1"
"Esacus magnirostris","澳洲石鸻","Beach Stone-curlew","Alcaraván piquigrueso australiano","NT","1"
