"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Spilopelia chinensis","Columbidae","珠颈斑鸠","Spotted Dove","Tórtola moteada oriental","Tourterelle tigrine","Perlhalstaube","Китайская горлица","Tortora macchiata","rola-maculada","カノコバト","57879","https://www.gbif.org/species/6101224","https://baike.baidu.com/item/珠颈斑鸠"
"Streptopelia orientalis","Columbidae","山斑鸠","Oriental Turtle Dove","Tórtola oriental","Tourterelle orientale","Orientturteltaube","Большая горлица","Tortora orientale","rola-oriental","キジバト","27600","https://www.gbif.org/species/2495681","https://baike.baidu.com/item/山斑鸠"
"Columba livia","Columbidae","原鸽","Rock Dove","Paloma bravía","Pigeon biset","Felsentaube","Сизый голубь","Piccione selvatico","pombo-das-rochas","カワラバト","11474","https://www.gbif.org/species/2495414","https://baike.baidu.com/item/原鸽"
"Streptopelia decaocto","Columbidae","灰斑鸠","Eurasian Collared Dove","Tórtola turca","Tourterelle turque","Türkentaube","Кольчатая горлица","Tortora dal collare","rola-turca","シラコバト","5448","https://www.gbif.org/species/2495696","https://baike.baidu.com/item/灰斑鸠"
"Columba rupestris","Columbidae","岩鸽","Hill Pigeon","Paloma rupestre","Pigeon des rochers","Klippentaube","Скальный голубь","Piccione di collina","pombo-das-colinas","コウライバト","4624","https://www.gbif.org/species/5231820","https://baike.baidu.com/item/岩鸽"
"Streptopelia tranquebarica","Columbidae","火斑鸠","Red Collared Dove","Tórtola cabecigrís","Tourterelle à tête grise","Halsringtaube","Короткохвостая горлица","Tortora dal collare asiatica","rola-birmanesa","ベニバト","1844","https://www.gbif.org/species/2495691","https://baike.baidu.com/item/火斑鸠"
"Chalcophaps indica","Columbidae","绿翅金鸠","Common Emerald Dove","Palomita esmeralda cabecigrís","Colombine turvert","Glanztaube","Изумрудная горлица","Tortora smeraldina comune","rola-esmeralda-de-cabeça-cinzenta","キンバト","1072","https://www.gbif.org/species/2495840","https://baike.baidu.com/item/绿翅金鸠"
"Columba leuconota","Columbidae","雪鸽","Snow Pigeon","Paloma nival","Pigeon des neiges","Schneetaube","Белогрудый голубь","Piccione delle nevi","pombo-das-neves","ユキバト","982","https://www.gbif.org/species/5231842","https://baike.baidu.com/item/雪鸽"
"Columba hodgsonii","Columbidae","点斑林鸽","Speckled Wood Pigeon","Paloma de Hodgson","Pigeon de Hodgson","Rhododendrontaube","Гималайский вяхирь","Colombaccio marezzato","pombo-mosqueado","ゴマフバト","629","https://www.gbif.org/species/5231835","https://baike.baidu.com/item/点斑林鸽"
"Ducula badia","Columbidae","山皇鸠","Mountain Imperial Pigeon","Dúcula dorsicastaña","Carpophage à manteau brun","Fahlbauch-Fruchttaube","Горный плодовый голубь","Piccione imperiale montano","pombo-imperial-montês","ヤマミカドバト","548","https://www.gbif.org/species/2495993","https://baike.baidu.com/item/山皇鸠"
"Treron sphenurus","Columbidae","楔尾绿鸠","Wedge-tailed Green Pigeon","Vinago rabocuña","Colombar chanteur","Keilschwanz-Grüntaube","Клинохвостый зелёный голубь","Piccione verde cuneato","pombo-verde-de-cunha","オナガアオバト","464","https://www.gbif.org/species/2495820","https://baike.baidu.com/item/楔尾绿鸠"
"Macropygia unchall","Columbidae","斑尾鹃鸠","Barred Cuckoo-Dove","Tórtola cuco unchal","Phasianelle onchall","Bindenschwanztaube","Полосатая кукушковая горлица","Tortora cuculo barrata","rola-cuco-barrada","ヨコジマオナガバト","413","https://www.gbif.org/species/2496157","https://baike.baidu.com/item/斑尾鹃鸠"
"Treron apicauda","Columbidae","针尾绿鸠","Pin-tailed Green Pigeon","Vinago rabudo","Colombar à longue queue","Spitzschwanz-Grüntaube","Острохвостый зелёный голубь","Piccione verde codaspillo","pombo-verde-de-cauda-fina","ハリオアオバト","317","https://www.gbif.org/species/2495726","https://baike.baidu.com/item/针尾绿鸠"
"Columba oenas","Columbidae","欧鸽","Stock Dove","Paloma zurita","Pigeon colombin","Hohltaube","Клинтух","Colombella","pombo-bravo","ヒメモリバト","233","https://www.gbif.org/species/2495471","https://baike.baidu.com/item/欧鸽"
"Treron curvirostra","Columbidae","厚嘴绿鸠","Thick-billed Green Pigeon","Vinago piquigrueso","Colombar à gros bec","Papageischnabel-Grüntaube","Крючкоклювый зелёный голубь","Piccione verde beccogrosso","pombo-verde-de-bico-grosso","ハシブトアオバト","202","https://www.gbif.org/species/2495730","https://baike.baidu.com/item/厚嘴绿鸠"
"Treron sieboldii","Columbidae","红翅绿鸠","White-bellied Green Pigeon","Vinago japonés","Colombar de Siebold","Sieboldgrüntaube","Японский зелёный голубь","Piccione verde panciabianca","pombo-verde-japonês","アオバト","193","https://www.gbif.org/species/2495812","https://baike.baidu.com/item/红翅绿鸠"
"Streptopelia turtur","Columbidae","欧斑鸠","European Turtle Dove","Tórtola europea","Tourterelle des bois","Turteltaube","Горлица","Tortora selvatica","rola-brava","コキジバト","116","https://www.gbif.org/species/2495708","https://baike.baidu.com/item/欧斑鸠"
"Spilopelia senegalensis","Columbidae","棕斑鸠","Laughing Dove","Tórtola senegalesa","Tourterelle maillée","Palmtaube","Малая горлица","Tortora delle palme","rola-do-senegal","ワライバト","86","https://www.gbif.org/species/6101223","https://baike.baidu.com/item/棕斑鸠"
"Columba palumbus","Columbidae","斑尾林鸽","Common Wood Pigeon","Paloma torcaz","Pigeon ramier","Ringeltaube","Вяхирь","Colombaccio","pombo-torcaz","モリバト","70","https://www.gbif.org/species/2495455","https://baike.baidu.com/item/斑尾林鸽"
"Treron phayrei","Columbidae","灰头绿鸠","Ashy-headed Green Pigeon","Vinago del Himalaya","Colombar de Phayre","Aschkopf-Grüntaube","Пепельноголовый зеленый голубь","Piccione verde testacenere","pombo-verde-indochinês","ハイガシラアオバト","50","https://www.gbif.org/species/6101232","https://baike.baidu.com/item/灰头绿鸠"
"Geopelia striata","Columbidae","斑姬地鸠","Zebra Dove","Tortolita estriada","Géopélie zébrée","Sperbertäubchen","Зебровая горлица","Tortora zebrata","rola-zebra-comum","チョウショウバト","47","https://www.gbif.org/species/2495486","https://baike.baidu.com/item/斑姬地鸠"
"Columba pulchricollis","Columbidae","灰林鸽","Ashy Wood Pigeon","Paloma cenicienta","Pigeon cendré","Himalajataube","Пепельный вяхирь","Colombaccio cenerino","pombo-cinzento","タイワンジュズカケバト","20","https://www.gbif.org/species/5231868","https://baike.baidu.com/item/灰林鸽"
"Treron bicinctus","Columbidae","橙胸绿鸠","Orange-breasted Green Pigeon","Vinago bicinta","Colombar à double collier","Bindengrüntaube","Оранжевогрудый зелёный голубь","Piccione verde pettoarancio","pombo-verde-de-pescoço-laranja","ムネアカアオバト","20","https://www.gbif.org/species/2495776","https://baike.baidu.com/item/橙胸绿鸠"
NULL,"Columbidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"11",NULL,NULL
"Columba punicea","Columbidae","紫林鸽","Pale-capped Pigeon","Paloma purpúrea","Pigeon marron","Kupfertaube","Пурпурный вяхирь","Piccione capochiaro","pombo-púrpura","ムラサキモリバト","10","https://www.gbif.org/species/5231837","https://baike.baidu.com/item/紫林鸽"
"Macropygia ruficeps","Columbidae","小鹃鸠","Little Cuckoo-Dove","Tórtola cuco chica","Phasianelle à tête rousse","Sundataube","Малая кукушковая горлица","Tortora cuculo minore","rola-cuco-pequena","ヒメオナガバト","10","https://www.gbif.org/species/2496161","https://baike.baidu.com/item/小鹃鸠"
"Ducula aenea","Columbidae","绿皇鸠","Green Imperial Pigeon","Dúcula verde","Carpophage de Pauline","Bronzefruchttaube","Бронзовый плодовый голубь","Piccione imperiale verde","pombo-imperial-verde","ミカドバト","9","https://www.gbif.org/species/2495934","https://baike.baidu.com/item/绿皇鸠"
"Treron seimundi","Columbidae","白腹针尾绿鸠","Yellow-vented Green Pigeon","Vinago culigualdo","Colombar de Seimund","Weißbauch-Grüntaube","Белобрюхий зелёный голубь","Piccione verde culgiallo","pombo-verde-d'olho-azul","シロハラハリオアオバト","3","https://www.gbif.org/species/2495827","https://baike.baidu.com/item/白腹针尾绿鸠"
"Treron phoenicopterus","Columbidae","黄脚绿鸠","Yellow-footed Green Pigeon","Vinago patigualdo","Colombar commandeur","Orangegrüntaube","Желтоногий зелёный голубь","Piccione verde piedigialli","pombo-verde-de-patas-amarelas","キアシアオバト","2","https://www.gbif.org/species/2495757","https://baike.baidu.com/item/黄脚绿鸠"
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL
"Caloenas nicobarica","Columbidae","尼柯巴鸠","Nicobar Pigeon","Paloma de Nicobar","Nicobar à camail","Kragentaube","Гривистый голубь","Piccione delle Nicobare","pombo-de-nicobar","ミノバト","1","https://www.gbif.org/species/5231891","https://baike.baidu.com/item/尼柯巴鸠"
