"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Cuculus canorus","Cuculidae","大杜鹃","Common Cuckoo","Cuco común","Coucou gris","Kuckuck","Кукушка","Cuculo","cuco-canoro","カッコウ","8810","https://www.gbif.org/species/5231918","https://baike.baidu.com/item/大杜鹃"
"Eudynamys scolopaceus","Cuculidae","噪鹃","Asian Koel","Koel occidental","Coucou koël","Asienkoel","Коэль","Koel comune","koel-ocidental","オニカッコウ","4916","https://www.gbif.org/species/2496347","https://baike.baidu.com/item/噪鹃"
"Cuculus sparverioides","Cuculidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4846","https://www.gbif.org/species/5231900",NULL
"Cuculus micropterus","Cuculidae","四声杜鹃","Indian Cuckoo","Cuco alicorto","Coucou à ailes courtes","Kurzflügelkuckuck","Индийская кукушка","Cuculo indiano","cuco-d'asa-curta","セグロカッコウ","4803","https://www.gbif.org/species/5231904","https://baike.baidu.com/item/四声杜鹃"
"Centropus sinensis","Cuculidae","褐翅鸦鹃","Greater Coucal","Cucal chino","Grand Coucal","Heckenkuckuck","Большой кукаль","Cucal maggiore","cucal-real","オオバンケン","4328","https://www.gbif.org/species/5232005","https://baike.baidu.com/item/褐翅鸦鹃"
"Cuculus poliocephalus","Cuculidae","小杜鹃","Lesser Cuckoo","Cuco chico","Petit Coucou","Gackelkuckuck","Малая кукушка","Cuculo minore","cuco-pequeno","ホトトギス","1995","https://www.gbif.org/species/5231927","https://baike.baidu.com/item/小杜鹃"
"Centropus bengalensis","Cuculidae","小鸦鹃","Lesser Coucal","Cucal bengalí","Coucal rufin","Bengalenkuckuck","Бенгальский кукаль","Cucal minore","cucal-pequeno","バンケン","1943","https://www.gbif.org/species/5231979","https://baike.baidu.com/item/小鸦鹃"
"Cuculus saturatus","Cuculidae","中杜鹃","Himalayan Cuckoo","Cuco oriental","Coucou de l’Himalaya","Himalajakuckuck","Гималайская кукушка","Cuculo dell'Himalaya","cuco-dos-himalaias","ヒマラヤツツドリ","1442","https://www.gbif.org/species/9548093","https://baike.baidu.com/item/中杜鹃"
"Cacomantis merulinus","Cuculidae","八声杜鹃","Plaintive Cuckoo","Cuco plañidero","Coucou plaintif","Klagekuckuck","Плачущая кукушка","Cuculo lamentoso","cuco-lamurioso","ヒメカッコウ","1309","https://www.gbif.org/species/2496253","https://baike.baidu.com/item/八声杜鹃"
"Rhopodytes tristis","Cuculidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"914","https://www.gbif.org/species/2496369",NULL
"Clamator coromandus","Cuculidae","红翅凤头鹃","Chestnut-winged Cuckoo","Críalo oriental","Coucou à collier","Koromandelkuckuck","Каштановокрылая кукушка","Cuculo alicastane","cuco-d'asa-castanha","カンムリカッコウ","731","https://www.gbif.org/species/2496467","https://baike.baidu.com/item/红翅凤头鹃"
"Cuculus optatus","Cuculidae","东方中杜鹃","Oriental Cuckoo","Cuco de Horsfield","Coucou oriental","Hopfkuckuck","Глухая кукушка","Cuculo orientale","cuco-oriental","ツツドリ","481","https://www.gbif.org/species/5231898","https://baike.baidu.com/item/东方中杜鹃"
"Surniculus lugubris","Cuculidae","乌鹃","Square-tailed Drongo-Cuckoo","Cuclillo drongo colitruncado","Coucou surnicou","Geradschwanz-Drongokuckuck","Дронговая кукушка","Cuculo drongo asiatico","cuco-drongo-de-cauda-quadrada","オウチュウカッコウ","406","https://www.gbif.org/species/2496506","https://baike.baidu.com/item/乌鹃"
"Cuculus hyperythrus","Cuculidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"252","https://www.gbif.org/species/5231908",NULL
"Cacomantis sonneratii","Cuculidae","栗斑杜鹃","Banded Bay Cuckoo","Cuco bayo","Coucou de Sonnerat","Sonneratkuckuck","Полосатая кукушка","Cuculo baio","cuco-zebra","クリイロヒメカッコウ","224","https://www.gbif.org/species/2496280","https://baike.baidu.com/item/栗斑杜鹃"
"Cuculus nisicolor","Cuculidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"178","https://www.gbif.org/species/5231923",NULL
"Chrysococcyx maculatus","Cuculidae","翠金鹃","Asian Emerald Cuckoo","Cuclillo esmeralda asiático","Coucou émeraude","Prachtkuckuck","Изумрудная кукушка","Cuculo smeraldino asiatico","cuco-esmeraldino-asiático","ミドリテリカッコウ","160","https://www.gbif.org/species/2496315","https://baike.baidu.com/item/翠金鹃"
"Chrysococcyx xanthorhynchus","Cuculidae","紫金鹃","Violet Cuckoo","Cuclillo violeta","Coucou violet","Amethystkuckuck","Аметистовая кукушка","Cuculo viola","cuco-violeta","スミレテリカッコウ","81","https://www.gbif.org/species/2496321","https://baike.baidu.com/item/紫金鹃"
NULL,"Cuculidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"38",NULL,NULL
