"学名","中文名","英文名","西班牙文名","保护状况","出现次数"
"Aegypius monachus","秃鹫","Cinereous Vulture","Buitre negro","NT","15512"
"Gyps himalayensis","高山兀鹫","Himalayan Vulture","Buitre del Himalaya","NT","3888"
"Gypaetus barbatus","胡兀鹫","Bearded Vulture","Quebrantahuesos","NT","1920"
"Nisaetus nipalensis","鹰雕","Mountain Hawk-Eagle","Águila montañesa","NT","657"
"Aquila clanga",NULL,NULL,NULL,"VU","625"
"Aquila nipalensis","草原雕","Steppe Eagle","Águila esteparia","EN","614"
"Aquila heliaca","白肩雕","Eastern Imperial Eagle","Águila imperial oriental","VU","164"
"Haliaeetus leucoryphus","玉带海雕","Pallas's Fish Eagle","Pigargo de Pallas","EN","103"
"Haliaeetus pelagicus","虎头海雕","Steller's Sea Eagle","Pigargo gigante","VU","76"
"Haliaeetus leucogaster",NULL,NULL,NULL,"NE","64"
"Lophotriorchis kienerii","棕腹隼雕","Rufous-bellied Eagle","Águila ventrirroja","NT","31"
"Circus macrourus","草原鹞","Pallid Harrier","Aguilucho papialbo","NT","29"
NULL,NULL,NULL,NULL,"NE","12"
"Aquila rapax","茶色雕","Tawny Eagle","Águila rapaz","VU","2"
"Sarcogyps calvus","黑兀鹫","Red-headed Vulture","Buitre cabecirrojo","CR","2"
"Neophron percnopterus","白兀鹫","Egyptian Vulture","Alimoche común","EN","1"
"Icthyophaga humilis","渔雕","Lesser Fish Eagle","Pigarguillo menor","NT","1"
"Gansugyps linxiaensis",NULL,NULL,NULL,"NE","1"
